source_id,ordinal,S0_comp_valid,S1_comp_valid,S0_struct_valid,S1_struct_valid,S0_strict_stable,S1_strict_stable,S0_meta_stable,S1_meta_stable,S0_strict_sun,S1_strict_sun,S0_meta_sun,S1_meta_sun,S0_e_above_hull_eV_atom,S1_e_above_hull_eV_atom
H1A2_1200:0718,709,True,True,True,True,False,False,False,False,False,False,False,False,0.12034438642724865,0.2260629990981471
H1A2_1200:0719,710,True,True,True,True,False,False,False,True,False,False,False,True,0.10397302738037073,0.02440464130248987
H1A2_1200:0720,711,False,False,True,True,False,False,True,False,False,False,True,False,0.08913639817814101,0.1204607847748207
H1A2_1200:0721,712,True,True,True,True,False,False,False,False,False,False,False,False,0.41359613619602165,0.39777467928684196
H1A2_1200:0722,713,True,True,True,True,True,False,True,True,True,False,True,True,-0.011551483582490363,0.007427112151152215
H1A2_1200:0723,714,True,True,True,True,False,False,True,True,False,False,True,True,0.04994774480126951,0.0508461060073242
H1A2_1200:0724,715,True,True,True,True,False,False,True,True,False,False,True,True,0.0701193635538182,0.0701193635538182
H1A2_1200:0725,716,True,True,True,True,False,False,False,False,False,False,False,False,0.23736471647420299,0.1441368531624354
H1A2_1200:0726,717,True,True,True,True,False,False,True,False,False,False,True,False,0.038967110702054164,0.14235875804092135
H1A2_1200:0727,718,True,True,True,True,False,False,True,True,False,False,False,True,0.016869191044596832,0.004935625904826324
H1A2_1200:0728,719,True,True,True,True,False,False,False,True,False,False,False,True,0.11256528739624017,0.08687210921936028
H1A2_1200:0729,720,True,True,True,True,True,False,True,False,True,False,True,False,-0.029845149907091084,0.10369548043348509
H1A2_1200:0730,721,False,False,True,True,False,False,True,True,False,False,True,True,0.06864360580108642,0.05022565135620116
H1A2_1200:0731,722,True,True,True,True,False,False,False,False,False,False,False,False,0.18399546713704495,0.21878264517659574
H1A2_1200:0733,723,True,True,True,True,False,False,True,False,False,False,True,False,0.05085803609252704,0.17984630208373797
H1A2_1200:0734,724,True,True,True,True,False,False,False,True,False,False,False,True,0.13899634898978253,0.07871602596121807
H1A2_1200:0735,725,True,True,True,True,False,False,True,True,False,False,True,True,0.05576991669786224,0.050370212718370055
H1A2_1200:0736,726,True,True,True,True,True,False,True,True,True,False,True,True,-0.005719307523193162,0.0006221498437501971
H1A2_1200:0737,727,True,True,True,True,False,False,True,True,False,False,True,True,0.04871652526463066,0.0642556945761541
H1A2_1200:0738,728,True,True,True,True,False,False,True,True,False,False,True,False,0.029869352493515022,0.03445324769996644
